ticket_id,train_id,travel_date,passenger_name,class,price,train_name,source,destination,days_of_operation,total_seats,booked_seats
1002,1004,2023-01-04,Sai Das,AC 2 Tier,288,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,15
1009,1004,2023-01-09,Vivaan Patel,AC 2 Tier,314,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,42
1012,1004,2023-01-29,Vihaan Patel,AC 2 Tier,485,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,25
1014,1004,2023-01-29,Reyansh Patel,AC 2 Tier,649,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,25
1017,1004,2023-01-20,Aditya Gupta,AC 2 Tier,1333,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,18
1028,1004,2023-01-29,Aditya Sharma,Sleeper,707,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,46
1035,1004,2023-01-28,Sai Das,Sleeper,1024,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,18
1038,1004,2023-01-08,Ishaan Mehta,Sleeper,303,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,8
1040,1004,2023-01-16,Reyansh Das,AC First Class,320,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,46
1046,1004,2023-01-04,Vivaan Reddy,Sleeper,1468,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,31
1057,1004,2023-01-09,Vivaan Patel,AC First Class,766,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,49
1072,1004,2023-01-12,Reyansh Gupta,Sleeper,988,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,6
1080,1004,2023-01-22,Aarav Gupta,AC First Class,547,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,40
1084,1004,2023-01-29,Arjun Kumar,AC First Class,1212,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,16
1085,1004,2023-01-08,Vihaan Chopra,Sleeper,1070,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,8
1092,1004,2023-01-03,Vivaan Mehta,AC 2 Tier,887,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,48
1095,1004,2023-01-11,Aditya Sharma,AC First Class,327,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,23
1097,1004,2023-01-16,Vivaan Verma,AC 2 Tier,998,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,11
1098,1004,2023-01-18,Sai Gupta,AC First Class,649,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,18
1108,1004,2023-01-22,Arjun Gupta,AC First Class,724,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,40
1113,1004,2023-01-22,Aarav Das,AC 2 Tier,225,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,28
